
 Lista de Imóveis da Caixa;;Data de geração:;28/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10143174 ;DF ;BRASILIA ;ASA SUL ;SGAS 902, N. 222, BLOCO B, LOTE 74, SALA 222, ENTRADA B ;125.886,47;265.000,00;52.50;Sala, 0.00 de área total, 45.97 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143174
 10143176 ;DF ;BRASILIA ;ASA SUL ;SGAS 902, N. S/N, CONJUNTO B, LOTE 74, SALA 224 ;144.259,48;295.000,00;51.10;Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143176
 10143177 ;DF ;BRASILIA ;ASA SUL ;SGAS 902, N. S/N, SALA 225, BLOCO B, CONJUNTO B ;129.589,02;265.000,00;51.10;Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143177
 10170139 ;DF ;BRASILIA ;ASA NORTE ;QUADRA 114, N. S/N, BL C, LJ 11  LT 06 ;136.881,54;275.000,00;50.23;Loja, 0.00 de área total, 37.62 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170139
 8787701514896 ;DF ;BRASILIA ;LOT RES 17 ;AVENIDA MONUMENTAL, N. SN, Apto 204, BL R ;106.667,03;180.000,00;40.75;Apartamento, 0.00 de área total, 45.17 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701514896
 8787710949484 ;DF ;BRASILIA ;SETOR MEIRELES SANTA ;AVENIDA MONUMENTAL, N. SN, Apto 402, BL 08 ;93.629,95;158.000,00;40.75;Apartamento, 0.00 de área total, 45.11 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710949484
 1444414370492 ;DF ;BRASILIA ;CEILANDIA SUL (CEILANDIA) ;QNN 6, N. SN, CONJ L LT 49 ;325.030,29;510.000,00;36.27;Casa, 0.00 de área total, 140.00 de área privativa, 144.00 de área do terreno,  3 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414370492
 8444414390262 ;DF ;BRASILIA ;RIACHO FUNDO I ;CLS 2, N. SN, Apto 202, BL A LT 1 QD QS-02 ;160.603,20;252.000,00;36.27;Apartamento, 0.00 de área total, 74.54 de área privativa, 0.00 de área do terreno,  3 qto(s), WC.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414390262
 8787711065920 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 203, BL 18, LT 13, COND 16 ;149.140,89;192.000,00;22.33;Apartamento, 0.00 de área total, 45.11 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711065920
 1444402409020 ;DF ;BRASILIA ;SAMAMBAIA SUL (SAMAMBAIA) ; QUADRA 301, N. S/N, Apto 501, QUADRA 301 CONJUNTO 0 7LOTES 1 A 6 E 2 ;300.000,00;300.000,00;0.00;Apartamento, 0.00 de área total, 70.96 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402409020
 1787701297137 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 400, N. 0, Apto 402, BLOCO 07 LOTE RESIDENCIAL 402, RA-XIII ;215.000,00;215.000,00;0.00;Apartamento, 0.00 de área total, 45.11 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701297137
 1787701334245 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 101, BL-01, COND-17 ;235.000,00;235.000,00;0.00;Apartamento, 0.00 de área total, 84.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701334245
 8555529786683 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 301, BL B LT 09/12 ;163.101,95;163.101,95;0.00;Apartamento, 0.00 de área total, 44.24 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529786683
 8787704523080 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. S/N, Apto 304, LT 17, BL Z ;170.000,00;170.000,00;0.00;Apartamento, 0.00 de área total, 45.17 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704523080
 8787704809099 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 204, BL-J ,COND-09 ;197.000,00;197.000,00;0.00;Apartamento, 0.00 de área total, 45.17 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704809099
 8787706031524 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 200, N. SN, Apto 104, LT RES 202 RES PORTO PILAR ;236.000,00;236.000,00;0.00;Apartamento, 0.00 de área total, 61.06 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706031524
 8787708536607 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 100, N. SN, Apto 101, BL 26, LT 102 ;265.000,00;265.000,00;0.00;Apartamento, 0.00 de área total, 80.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708536607
 8787710560170 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ; Q QUADRA 502, N. SN, Apto 02, BL-C1, LT02, CJ-01 QD-502 ;171.000,00;171.000,00;0.00;Apartamento, 0.00 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710560170
 8787701097438 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. S/N, Apto 403, BL A LT 17 ;171.583,68;169.000,00;0.00;Apartamento, 0.00 de área total, 45.17 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701097438
 8787702982494 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 300, N. SN, Apto 402, BL 21 LT 301 ;149.313,78;146.000,00;0.00;Apartamento, 0.00 de área total, 45.02 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702982494
 8787708006705 ;DF ;BRASILIA ;SAMAMBAIA SUL (SAMAMBAIA) ; QUADRA 101, N. SN, Apto 503, LT 04, CJ 04, BL C, VG 118 ;149.150,64;145.000,00;0.00;Apartamento, 0.00 de área total, 33.24 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708006705
